221,Theatre of Darkness: Yamishibai 9,SUMMER,FINISHED,3
222,プリンセス・プリンシパル Crown Handler 第1章「BUSY EASY MONEY」,SUMMER,FINISHED,17
223,Saga of Tanya the Evil: Operation Desert Pasta,SUMMER,FINISHED,92
224,ヘタリア World★Stars 初収録新作エピソード OVA,SUMMER,FINISHED,6
226,プリティーオールフレンズセレクション,SUMMER,FINISHED,4
227,Isekai Cheat Magician: Magicians and the Starry Night Festival,SUMMER,FINISHED,74
229,白い砂のアクアトープ みに,SUMMER,RELEASING,1
230,I, Tsushima (ONA),SUMMER,RELEASING,9
231,mini vanguard Large,SUMMER,FINISHED,0
232,キック&スライド,SUMMER,FINISHED,0
233,Tomorrow’s Leaves,SUMMER,FINISHED,1
234,夏がはじまる。,SUMMER,FINISHED,7
235,セリア先生のわくわくまじかる教室,SUMMER,FINISHED,16
236,VOY@GER,SUMMER,FINISHED,30
237,Fire Emblem Heroes - Book II - Chibi Playhouse,SUMMER,FINISHED,2
238,Summer Meets God (Rick Meets Evil),SUMMER,FINISHED,1
239,小林さんちのメイドラゴンＳミニドラEX,SUMMER,RELEASING,32
240,天才王子の赤字国家再生術 ショートドラマ,SUMMER,RELEASING,1
241,終末のワルキューレ ミニアニメ,SUMMER,FINISHED,8
242,Fate/kaleid liner プリズマ☆イリヤ Licht 名前の無い少女 スペシャルミニアニメ,SUMMER,FINISHED,0
243,ふんばり温泉 繁盛記,SUMMER,FINISHED,0
245,UMISEA,SUMMER,FINISHED,10
246,リエラのうた,SUMMER,FINISHED,8
247,闇芝居 九期,SUMMER,FINISHED,0
248,그 여름,SUMMER,RELEASING,4
249,アズールレーンびそくぜんしんっ！誇らしき母港に祝祭を,SUMMER,FINISHED,13
250,Attack On Titan: The Final Season Specials,SUMMER,FINISHED,12
251,Cinderella Nine: The Story Continues,SUMMER,FINISHED,8
252,Sumo Wrestler,SUMMER,FINISHED,0
253,Atelier Ryza: Animated Shorts,SUMMER,FINISHED,2
254,Blink in the Desert,SUMMER,FINISHED,1
255,100 Years of Work in Japan,SUMMER,FINISHED,0
301,メガトン級ムサシ,FALL,RELEASING,30
302,EUREKA／交響詩篇エウレカセブン ハイエボリューション,FALL,FINISHED,29
303,Shikizakura,FALL,RELEASING,29
304,Blade Runner: Black Lotus,FALL,RELEASING,36
305,SAKUGAN,FALL,RELEASING,133
306,MUTEKING THE Dancing HERO,FALL,RELEASING,9
307,Super Crooks,FALL,FINISHED,24
308,宇宙戦艦ヤマト2205 新たなる旅立ち 前章 -TAKE OFF- ,FALL,FINISHED,8
309,Muv-Luv Alternative,FALL,RELEASING,82
310,Ranking of Kings,FALL,RELEASING,706
311,The Vampire Dies in No Time,FALL,RELEASING,136
312,劇場版マクロスΔ 絶対LIVE!!!!!!,FALL,FINISHED,19
313,神在月のこども,FALL,FINISHED,19
314,My Senpai is Annoying,FALL,RELEASING,516
316,Yuki Yuna is a Hero: The Great Mankai Chapter,FALL,RELEASING,59
317,Sing a Bit of Harmony,FALL,FINISHED,74
318,Sword Art Online the Movie -Progressive- Aria of a Starless Night,FALL,FINISHED,705
319,Baki Hanma,FALL,FINISHED,220
320,フラ・フラダンス,FALL,NOT_YET_RELEASED,10
321,映画 すみっコぐらし 青い月夜のまほうのコ,FALL,NOT_YET_RELEASED,1
322,Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside,FALL,RELEASING,483
323,Ancient Girl’s Frame,FALL,RELEASING,10
324,Selection Project,FALL,RELEASING,100
325,PuraOre! ~Pride of Orange~,FALL,RELEASING,36
326,The Night Beyond the Tricornered Window,FALL,RELEASING,87
327,World Trigger 3rd Season,FALL,RELEASING,164
328,Platinum End,FALL,RELEASING,767
329,Taisho Otome Fairy Tale,FALL,RELEASING,215
330,Aggretsuko: Season 4,FALL,NOT_YET_RELEASED,14
331,Mushoku Tensei: Jobless Reincarnation Cour 2,FALL,RELEASING,2577
332,Blue Period,FALL,RELEASING,997
333,Cardfight!! Vanguard overDress Season 2,FALL,RELEASING,11
334,The Fruit of Evolution: Before I Knew It, My Life Had It Made,FALL,RELEASING,303
335,劇場短編マクロスF ～時の迷宮～,FALL,FINISHED,8
336,プリンセス・プリンシパル Crown Handler 第2章,FALL,FINISHED,17
337,Demon Slayer: Kimetsu no Yaiba 2,FALL,RELEASING,2314
338,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,FALL,RELEASING,1062
340,サマーゴースト,FALL,FINISHED,50
341,ARIA The BENEDIZIONE,FALL,NOT_YET_RELEASED,7
